iata,name,city,country,region,lat,lon,size
HDM,Hamadan Airport,Hamadan,IR,IR-13,34.866416,48.56069,medium
HDN,Yampa Valley Airport,Hayden,US,US-CO,40.481201,-107.218002,medium
HDO,Hindon Airport / Hindon Air Force Station,Ghaziabad,IN,IN-UP,28.707701,77.358902,small
HDS,Eastgate Airport / Air Force Base Hoedspruit,Hoedspruit,ZA,ZA-NP,-24.361864,31.052921,medium
HDY,Hat Yai International Airport,Hat Yai,TH,TH-90,6.93321,100.392998,large
HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,AF-HER,34.209999,62.228298,large
HEH,Heho Airport,Heho,MM,MM-17,20.74714,96.792029,medium
HEI,Heide-Büsum Airport,Oesterdeichstrich,DE,DE-SH,54.153332,8.901667,small
HEK,Heihe Aihui Airport,Heihe,CN,CN-23,50.171621,127.308884,medium
HEL,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,FI-18,60.318363,24.963341,large
HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,GR-M,35.339699,25.1803,large
HET,Hohhot Baita International Airport,Hohhot,CN,CN-15,40.849658,111.824598,large
HFA,Uri Michaeli Haifa International Airport,Haifa,IL,IL-HA,32.810219,35.043719,medium
HFE,Hefei Xinqiao International Airport,Hefei,CN,CN-34,31.98779,116.9769,large
HFN,Hornafjörður Airport,Höfn,IS,IS-8,64.295601,-15.2272,medium
HFS,Hagfors Airport,Råda,SE,SE-S,60.0201,13.5789,small
HFT,Hammerfest Airport,Hammerfest,NO,NO-56,70.679703,23.6686,medium
HGA,Egal International Airport,Hargeisa,SO,SO-WO,9.514082,44.083469,large
HGD,Hughenden Airport,Hughenden,AU,AU-QLD,-20.815001,144.225006,small
HGH,Hangzhou Xiaoshan International Airport,Hangzhou,CN,CN-33,30.23609,120.428865,large
HGI,Itanagar Donyi Polo Hollongi Airport,Hollongi,IN,IN-AR,26.96683,93.638792,medium
HGL,Helgoland-Düne Airport,Helgoland,DE,DE-SH,54.18528,7.915833,small
HGN,Mae Hong Son Airport,Mae Hong Son,TH,TH-58,19.3013,97.9758,medium
HGO,Korhogo Airport,Korhogo,CI,CI-SV,9.38718,-5.55666,medium
HGR,Hagerstown Regional Richard A Henson Field,Hagerstown,US,US-MD,39.708771,-77.728014,medium
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,PG-WHM,-5.828212,144.299412,medium
HHH,Hilton Head Airport,Hilton Head Island,US,US-SC,32.2244,-80.697502,medium
HHN,Frankfurt-Hahn Airport,Frankfurt am Main (Lautzenhausen),DE,DE-RP,49.946353,7.261734,large
HHQ,Hua Hin Airport,Hua Hin,TH,TH-76,12.6361999512,99.951499939,medium
HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,US,US-CA,33.922798,-118.334999,medium
HHZ,Hikueru Airport,Hikueru,PF,PF-U-A,-17.548297,-142.612037,small
HIA,Huai'an Lianshui Airport,Huai'an,CN,CN-32,33.792712,119.126657,large
